cod_func;nome_func;sexo_func;email_func;turno_func;funcao_func;salario_func
1;Rebeca Silveira dos Santos;F;rebecassantos@gmail.com;Matituno;Limpeza;1625.00
2;João Carvalho da Silva;M;joãosilvacar@hotmail.com;Matituno;Balconista;1600.00
3;Giovanna Aparecida Cândido;F;candidogioaparecia@gmail.com;Matituno, Vespertino;Gerente;2700.00
4;Marina de Oliveira;F;oliveiramarina@gmail.com;Matituno;Farmacêutico;1980.00
5;Valéria Aparecia de Jesus;F;valeriajesusap@gmail.com;Noturno;Farmacêutico;2105.00
6;Matheus Roberto de Jesus;M;robertomatheus@gmail.com;Matituno;Supervisor;2300.00
7;Mariana Rodrigues da Silva;F;marianasilva@gmail.com;Matituno;Atendente;1570.00
8;Maria Floriano;F;flormaria@hotmail.com;Vespertino;Limpeza;1625.00
9;Wagner Carvalho dos Santos;M;wagnersantos@hotmail.com;Matituno;Atendente;1570.00
10;Helena Rodrigues Alves;F;helenarodrigues@gmail.com;Matituno;Farmacêutico;1980.00
11;Guilherme Pereira Santos;M;guipereirasantos@gmail.com;Matituno;Balconista;1600.00
12;Beatriz Dias;F;beatrizdias@gmail.com;Vespertino;Estagiário;1500.00
13;Nicolas Martins Souza;M;souzanicolas@hotmail.com;Noturno;Balconista;1700.00
14;Maria Luiza Aparecida;F;marialuizaaparecida@gmail.com;Vespertino;Farmacêutico;1980.00
15;Lorenzo de Andrade;M;lorenzoandrade@hotmail.com;Vespertino;Balconista;1600.00
16;Lara Lima;F;laralimafarma@gmail.com;Vespertino;Supervisor;2300.00
17;Gustavo Ribeiro Santos;M;santosgustavo@hotmail.com;Noturno;Limpeza;1725.00
18;Mariana Silveira da Silva;F;silveiramariana@gmail.com;Vespertino;Farmacêutico;1980.00
19;Felipe Machado da Silva;M;felipemachado@gmail.com;Vespertino;Atendente;1570.00
20;Nicole Andrade de Jesus;F;nicoledejesus@gmail.com;Vespertino;Balconista;1600.00
21;Eduardo Sousa;M;sousaeduardo@hotmail.com;Vespertino;Atendente;1570.00
22;Paulo Machado Alves;M;machadodealves@gmail.com;Noturno;Atendente;1670.00
